2025-09-07 18:37:03.441 [main] INFO  com.itheima.TliasWebManagementApplication-Starting TliasWebManagementApplication using Java 21.0.2 with PID 23584 (E:\Project\BackEnd_learning\web-code\web-ai-project02\tlias-web-management\target\classes started by Dell in E:\Project\BackEnd_learning\web-code\web-ai-project02)
2025-09-07 18:37:03.442 [main] INFO  com.itheima.TliasWebManagementApplication-No active profile set, falling back to 1 default profile: "default"
2025-09-07 18:37:04.633 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer-Tomcat initialized with port 8080 (http)
2025-09-07 18:37:04.644 [main] INFO  org.apache.coyote.http11.Http11NioProtocol-Initializing ProtocolHandler ["http-nio-8080"]
2025-09-07 18:37:04.645 [main] INFO  org.apache.catalina.core.StandardService-Starting service [Tomcat]
2025-09-07 18:37:04.645 [main] INFO  org.apache.catalina.core.StandardEngine-Starting Servlet engine: [Apache Tomcat/10.1.44]
2025-09-07 18:37:04.688 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/]-Initializing Spring embedded WebApplicationContext
2025-09-07 18:37:04.688 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext-Root WebApplicationContext: initialization completed in 1217 ms
2025-09-07 18:37:05.392 [main] INFO  org.apache.coyote.http11.Http11NioProtocol-Starting ProtocolHandler ["http-nio-8080"]
2025-09-07 18:37:05.402 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer-Tomcat started on port 8080 (http) with context path '/'
2025-09-07 18:37:05.408 [main] INFO  com.itheima.TliasWebManagementApplication-Started TliasWebManagementApplication in 2.289 seconds (process running for 3.059)
2025-09-07 18:37:44.718 [http-nio-8080-exec-1] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/]-Initializing Spring DispatcherServlet 'dispatcherServlet'
2025-09-07 18:37:44.718 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet-Initializing Servlet 'dispatcherServlet'
2025-09-07 18:37:44.721 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet-Completed initialization in 2 ms
2025-09-07 18:37:44.729 [http-nio-8080-exec-1] INFO  com.itheima.filter.TokenFilter-获取到jwt令牌为空, 返回错误结果
2025-09-07 18:37:48.389 [http-nio-8080-exec-2] INFO  com.itheima.filter.TokenFilter-解析令牌失败, 返回错误结果
2025-09-07 18:37:48.389 [http-nio-8080-exec-3] INFO  com.itheima.filter.TokenFilter-解析令牌失败, 返回错误结果
2025-09-07 18:37:59.901 [http-nio-8080-exec-7] INFO  com.itheima.filter.TokenFilter-登录请求 , 直接放行
